Grade,Strand,Anchor Standard,Code,Benchmark
7,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",7.2.5.2,"Write to respond to literary texts of various forms, including comparing and contrasting narrative elements in various literary forms (e.g., writing personal reactions, analysis, and interpretation of text)."
7,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",7.2.6.1,"Write to create, establishing context and narrator perspective, applying literary techniques to impact style, tone and plot in various literary forms (e.g., poetry, plays, autobiography, biography, story, myth)."
7,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",7.2.6.2,"Apply structural elements characteristic of the literary genre in written narratives, poetry or other creative text (e.g., chapters, stanzas, scenes)."
7,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,7.2.7.1,Formulate self-generated questions that narrow or broaden the inquiry when appropriate.
7,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,7.2.7.2,"Plan and conduct independent research, synthesizing information from a variety of sources, and share findings in writing."
7,Writing,"W8 Media Literacy in Writing: Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",7.2.8.1,"Use and cite a variety of print and digital sources, quoting, paraphrasing and summarizing, avoiding plagiarism."
7,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",7.3.1.1,"Exchange ideas through storytelling, discussion and collaboration, intentionally considering the perspectives of Dakota and Anishinaabe people as well as other perspectives.
a.       Acknowledge and elaborate on others’ ideas.
b.       Use tools to collaborate with others both synchronously and asynchronously.
c.       Cooperate, mediate and problem solve to make decisions as appropriate for productive group discussion."
7,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",7.3.1.2,"Ask questions that elicit elaboration and respond to questions with relevant observations and ideas, demonstrating preparation for the discussion."
7,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",7.3.1.3,"Adapt speech, writing or communications by utilizing constructive feedback from self and others."
7,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 2 Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",7.3.2.1,"Use vocabulary, language, structure and features of spoken language to establish personal voice, style and tone in communicating with others, considering audience and context."
7,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",7.3.3.1,"Communicate claims and findings, sequencing ideas logically, including relevant facts and descriptive details to support central ideas or themes, in a variety of presentation styles, following ethical and safe communication practices; collaborate with peers, such that multiple aspects of a topic are explored (e.g. collaborative magazine, blog or presentation)."
7,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",7.3.3.2,"Create and share, individually or in a collaborative group, an artistic or entertaining multi-media work or digital communication, choosing tools to meet the task, purpose and audience, demonstrating understanding of digital footprint. *"
8,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",8.1.2.1,"Read independently and self-monitor understanding of grade-level text; independently annotate learning, applying strategies when meaning breaks down, including, but not limited to, consulting resources for more information, with guidance and support."
8,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",8.1.2.2,"At grade 8 text complexity, select and proficiently read and comprehend texts that address academic tasks."
8,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",8.1.2.3,"Locate, select and read texts that address personal identity and intersectionality, utilizing various search methods."
8,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,8.1.3.1,"Choose and read texts that address the purpose (e.g., personal interest, enjoyment, academic tasks), representing perspectives and identities of historical and contemporary Dakota and Anishinaabe people. (Connects to mastery of skills in grade-level text in standard R2)"
8,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",8.1.4.1,"Cite textual evidence that most strongly supports conclusions of what a text says explicitly as well as inferences drawn from the text, including analysis of what characters or individuals are saying in the text (dialogue and quotations); objectively summarize the text."
8,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",8.1.4.2,Determine multiple themes or central ideas of a single text and analyze its development over the course of the text.
8,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",8.1.4.3,Analyze the interactions or dialogue between complex characters and events to build plot or reveal aspects of a character in a literary text.
8,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",8.1.4.4,"Analyze how a text makes connections between individuals, events or concepts in informational text."
8,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,8.1.5.1,"Evaluate the differing structures, including narrative point of view, of two or more literary texts with similar themes or topics and how the structures contribute to their meaning and style (e.g., poetry/short story, drama/poem)."
8,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,8.1.5.2,"Analyze the informational text structure (including, but not limited to, cause/effect, problem/solution and proposition/support), highlighting the role that a particular sentence or paragraph has in developing and refining a key concept."
8,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,8.1.5.3,"Compare and contrast the ideas/information conveyed through illustrations, graphics and other audiovisual elements in a wide variety of texts, based on accuracy, perspective, credibility and relevance."
8,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",8.1.6.1,"Analyze how an author, including Dakota and Anishinaabe authors, develops the point of view and identity of the character to enrich a text."
8,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",8.1.6.2,"Analyze how a modern work of fiction draws on themes, patterns of events or character types from myths and traditional stories, including stories, poems and historical novels; describe how the material is rendered new."
8,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",8.1.6.3,"Analyze a case in which two or more texts, including one text by or about Dakota and Anishinaabe people or other diverse cultures, provide conflicting information on the same topic, and identify where the texts disagree on matters of fact or interpretation."
8,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,8.1.7.1,"Evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant/irrelevant and sufficient."
8,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",8.1.8.1,"Analyze the impact of specific word choices on meaning and tone of literary text, including analogies or allusions to other texts."
8,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",8.1.8.2,"Analyze the impact of specific word choices on meaning and tone applied to a variety of academic, technical and domain-specific words and phrases in informational text."
8,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",8.1.9.1,"Access information from a wide variety of sources, on both sides of an issue or from multiple perspectives."
8,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",8.1.9.2,"Evaluate perspective, bias, credibility, relevancy and sufficiency of sources related to task and purpose (e.g., purpose/motive of author or source)."
8,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",8.2.1.1,"Consistently write and edit work for correct punctuation, spelling, capitalization and grammar."
8,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",8.2.1.2,No benchmark at this grade level.
8,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",8.2.1.3,"Use nouns, verbs, adjectives, adverbs and pronouns, placing clauses and phrases within sentences correctly, authentically in writing, building on skills from previous years."
8,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",8.2.2.1,"Write routinely for a range of tasks (e.g., personal interest, enjoyment, academic tasks), purposes and audiences, choosing topics and format, including visual elements (e.g., illustrations, charts, tables and audio-visual elements) when applicable."
8,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",8.2.2.2,Write to reflect how personal perspective and identity have developed in relation to social or cultural groups.
8,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",8.2.3.1,"Plan and draft multiple pieces; self-select pieces to take through the writing process and methods for revision, editing and publishing."
8,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",8.2.3.2,"Use words, phrases and sentence structures to express ideas precisely and concisely, recognizing and eliminating wordiness and redundancy."
8,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",8.2.4.1,"Write to argue, clarifying the relationship among claims and evidence in both argument and counter-argument, building on skills from previous years."
8,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",8.2.4.2,"Write to persuade, clarifying the relationship between opinions and supporting facts, building on skills from previous years."
8,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",8.2.5.1,"Write to inform or explain, integrating factual information to convey understanding about a topic, incorporating correctly-cited summary, paraphrase, and quotation, and using precise, domain-specific vocabulary and utilizing organization strategies common in a variety of text structures, building on skills from previous years."
8,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",8.2.5.2,"Write to respond to a literary text, demonstrating understanding of style, mood and tone (e.g., writing personal reactions, analysis, and interpretation of text)."
8,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",8.2.6.1,"Write to create, applying advanced literary techniques including complicated plots, pacing, rhythm and rhyme to develop mood and tone in various literary forms."
8,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",8.2.6.2,"Craft dialogue to match character or narrator perspective and context, and use structure appropriate to chosen style and tone, in written narratives, poetry or other creative text."
8,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,8.2.7.1,"Formulate self-generated questions that guide inquiry, generating additional questions for further research and investigation."
8,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,8.2.7.2,"Plan and conduct independent research, synthesizing information from a wide variety of sources, and share findings in writing (e.g., sources of different formats and/or perspectives)."
8,Writing,"W8 Media Literacy in Writing: Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",8.2.8.1,"Use and cite a wide variety of print and digital sources, quoting, paraphrasing and summarizing, avoiding plagiarism."
8,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",8.3.1.1,"Exchange ideas through storytelling, discussion and collaboration, expressing ideas, intentionally considering the perspectives of Dakota and Anishinaabe people as well as other perspectives.
a.       Elaborate on others’ ideas, and, when warranted, qualify or justify their own views based on the evidence presented.
b.       Use tools to collaborate with others both synchronously and asynchronously.
c.       Work toward a shared goal."
8,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",8.3.1.2,"Ask questions that connect the ideas of several speakers and respond to questions and comments with relevant evidence, observations and ideas, demonstrating preparation for the discussion."
8,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",8.3.1.3,"Adapt speech, writing or communications by utilizing constructive feedback from self and others."
8,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 2 Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",8.3.2.1,"Use vocabulary, language, structure and features of spoken language to establish personal voice, style and tone, and identify impact in communicating with others, considering audience and context."
8,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",8.3.3.1,"Communicate claims and findings, emphasizing important points in a focused, coherent manner with relevant evidence, valid reasoning and carefully selected details, in a variety of presentation styles, following ethical and safe communication practices."
8,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",8.3.3.2,"Create and share, individually or in a collaborative group, a persuasive multi-media work or digital communication, choosing tools to meet the task, purpose and audience, demonstrating understanding of digital footprint. *"
